ElapsedTime,Unix,VBUS,IBUS,DP,DM,CC1,CC2,TEMP,CHARGE,ENERGY,PWR,,,,
00:08.5,8.5,11.920232,0.992722,0.033,0.046,0.003,1.589,35.5625,0.001950175,0.02337377,11.833477,,,,
00:08.5,8.52,11.923416,1.00058,0.033,0.046,0.004,1.589,35.5625,0.001955733,0.02344005,11.930332,,,,
00:08.5,8.54,11.926951,1.003292,0.03,0.049,0.005,1.588,35.5625,0.001961307,0.023506529,11.966215,,,,
00:08.6,8.56,11.93033,1.023237,0.033,0.05,0.005,1.589,35.5625,0.001966992,0.023574349,12.207555,,,,
00:08.6,8.58,11.933611,0.950618,0.032,0.047,0.004,1.589,35.5625,0.001972273,0.023637373,11.344305,,,,
00:08.6,8.6,11.937224,0.946115,0.033,0.047,0.004,1.588,35.5625,0.001977529,0.023700117,11.293987,,,,
00:08.6,8.62,11.94031,0.947077,0.033,0.046,0.004,1.59,35.5625,0.001982791,0.023762941,11.308393,,,,
00:08.6,8.64,11.94365,0.884589,0.033,0.047,0.004,1.59,35.546875,0.001987705,0.023821637,10.565221,,,,
00:08.7,8.66,11.947322,0.857151,0.032,0.048,0.003,1.588,35.546875,0.001992467,0.02387853,10.240659,,,,
00:08.7,8.68,12.016814,0.61035,0.033,0.049,0.002,1.588,35.546875,0.001995858,0.023919277,7.3344624,,,,
00:08.7,8.7,12.044412,0.513238,0.033,0.048,0.002,1.587,35.546875,0.001998709,0.023953619,6.1816499,,,,
00:08.7,8.72,12.042947,0.44935,0.033,0.048,0.002,1.588,35.546875,0.002001206,0.023983683,5.4114982,,,,
00:08.7,8.74,11.992263,0.622135,0.032,0.048,0.003,1.588,35.546875,0.002004662,0.024025132,7.4608065,,,,
